date,open,high,low,close,preclose,volume
2020/11/17,6421.299805,6424.5,6309,6365.299805,6365.299805,1225248200
2020/11/18,6365.299805,6395.899902,6326.700195,6385.200195,6385.200195,979740000
2020/11/19,6385.200195,6385.200195,6314.299805,6334.399902,6334.399902,929024200
2020/11/20,6334.399902,6386.700195,6324.600098,6351.5,6351.5,821112500
2020/11/23,6351.5,6392.100098,6325.200195,6333.799805,6333.799805,943708400
2020/11/24,6333.799805,6432.399902,6333.700195,6432.200195,6432.200195,1301560700
2020/11/25,6432.200195,6468.700195,6375.299805,6391.100098,6391.100098,1129314000
2020/11/26,6391.100098,6412.700195,6349.5,6362.899902,6362.899902,736272500
2020/11/27,6362.899902,6375.899902,6302.200195,6367.600098,6367.600098,1448127900
2020/11/30,6367.600098,6404,6266.200195,6266.200195,6266.200195,1355075300
2020/12/1,6266.200195,6400.200195,6263.600098,6384.700195,6384.700195,839858300
2020/12/2,6384.700195,6468.600098,6367.5,6463.399902,6463.399902,936842800
2020/12/3,6463.399902,6491.5,6430.299805,6490.299805,6490.299805,943214500
2020/12/4,6490.299805,6559.200195,6489.799805,6550.200195,6550.200195,1073110600
2020/12/7,6550.200195,6601.100098,6519.799805,6555.399902,6555.399902,1058250500
2020/12/8,6555.399902,6567.600098,6518.399902,6558.799805,6558.799805,758186800
2020/12/9,6558.799805,6623,6558.799805,6564.299805,6564.299805,769345300
2020/12/10,6564.299805,6640.700195,6561.100098,6599.799805,6599.799805,1109877200
2020/12/11,6599.799805,6607.399902,6520.5,6546.799805,6546.799805,1069085700
2020/12/14,6546.799805,6583.700195,6524.700195,6531.799805,6531.799805,870265400
2020/12/15,6531.799805,6558.200195,6484,6513.299805,6513.299805,737394700
2020/12/16,6513.299805,6598.399902,6513.299805,6570.899902,6570.899902,860333700
2020/12/17,6570.899902,6601.600098,6551.100098,6551.100098,6551.100098,725533900
2020/12/18,6551.100098,6604.5,6518.299805,6529.200195,6529.200195,1200513100
2020/12/21,6529.200195,6529.200195,6315.299805,6416.299805,6416.299805,1118314800
2020/12/23,6453.200195,6497.299805,6431.200195,6495.799805,6495.799805,807695400
2020/12/24,6495.799805,6530.299805,6479.600098,6502.100098,6502.100098,477470700
2020/12/29,6502.100098,6676.600098,6502.100098,6602.700195,6602.700195,824116800
2020/12/30,6602.700195,6623,6552.5,6555.799805,6555.799805,425493000
2020/12/31,6555.799805,6555.799805,6439.399902,6460.5,6460.5,316943900
2021/1/4,6460.5,6662.700195,6460.5,6571.899902,6571.899902,965097800
2021/1/5,6571.899902,6622.799805,6544.299805,6612.299805,6612.299805,718950800
2021/1/6,6612.299805,6859.100098,6611.899902,6841.899902,6841.899902,1249709500
2021/1/7,6841.899902,6903.600098,6795.100098,6857,6857,939652600
2021/1/8,6857,6886.299805,6836.100098,6873.299805,6873.299805,850778500
2021/1/11,6873.299805,6873.299805,6768.700195,6798.5,6798.5,707799500
2021/1/12,6798.5,6816.700195,6738.200195,6754.100098,6754.100098,648158800
2021/1/13,6754.100098,6772.600098,6736,6745.5,6745.5,619448200
2021/1/14,6745.5,6802,6736.799805,6802,6802,685978100
2021/1/15,6802,6802.100098,6676.600098,6735.700195,6735.700195,740665600
2021/1/18,6735.700195,6741.5,6709.299805,6720.700195,6720.700195,359826900
2021/1/19,6720.700195,6770.700195,6697.700195,6713,6713,618144700
2021/1/20,6713,6751.799805,6697.5,6740.399902,6740.399902,687499600
